1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5d: Color For ,5e: Color Pattern For,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Woody,Terrestrial,Mountains,Very Common,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Radial,Tap,Scaly,Blue,N/A,Scaly,Yellow,N/A,Flaky,Yellow,N/A,Broad,Regular Interval,Acuminate (Taper to Long Point),Serate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Silver,N/A,Seeds,Fruit,Animal,Single,Bell,Avg. (1-5cm),Oval,Sticky,Random Interval,None,Poly-Annual (2-7 Years),Waxy,Brown,Solid,10+,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Nutritious / Tasty,Dried,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Sedative,
Herbaceous,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Bulb,Other,Brown,N/A,Flaky,Green,N/A,Smooth,Green,N/A,Compound,Branch Points,Palmate (Hand-Like),Lobate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Rough,Black,N/A,Suckers,Fruit,Water,Pairs,Bell,Huge (>10cm),Toothed,Velvety,Branch Points,None,Poly-Annual (2-7 Years),Rough,Gold,Spotted,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Wash,Detergent,Non-Edible,N/A,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Re-Roll,Nephretic,
Herbaceous,Aquatic,Salt Water,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,White,N/A,Waxy,Violet,N/A,Smooth,Orange,N/A,Compound,Random Interval,Poly-Foliate (2-7 Leaflets),Crenate,Re-Roll & Smooth,Reticulate (Smaller Veins Forming a Network),Singles (1),Flaky,White,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Infusion,Specific,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Rubbed,Aperient,Edible,Steeped,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Bulb,Smooth,Red,N/A,Waxy,Gold,N/A,Smooth,White,N/A,Broad,Branch Points,Obtuse (Bluntly Tipped),Dentate,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Blue,N/A,Seeds,Fruit,Gravity,Single,Disc,Small (5-10mm),Wavy,Velvety,Regular Interval,None,Perennial (Yearly),Smooth,Green,Solid,4-9,0,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,Medicinal / Other & Medicinal / Other,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,None,Bulb,Smooth,Red,N/A,Smooth,Green,N/A,Flaky,Violet & Blue,Iridescent,Needles,Terminal,Reniform (Kidney),Denticulate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Black,N/A,Seeds,Spore,Wind,Bunches,Bell,Avg. (1-5cm),Toothed,Dusty,Random Interval,Foul,Perennial (Yearly),Smooth,Orange,Mimicry & Spotted,0,5+,Parasitic,Motile,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Grated,Anodyne,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,Ordered,Fibrous,Waxy,Black,N/A,Smooth,Violet,N/A,Smooth,Yellow,N/A,Broad,Terminal,Rhomboid (Diamond),Lobate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Waxy,Green,N/A,Seeds,Fruit,Animal,Pairs,Bell,Avg. (1-5cm),Curly,Waxy,Terminal,Other / Specific,Other,Smooth,Green,Night Closing,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Nutritious / Tasty,Dried,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Mountains,Uncommon,Large Patch (120+),Large (1-10m),Multiple Stems / Trunks,Random,Tubers,Scaly,Blue,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Broad,Stem / Trunk,Palmate (Hand-Like),Serrulate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Brown,N/A,Seeds,Fruit,Wind,Pairs,Funnel,Small (5-10mm),Wavy,Hairy,Terminal,Foul,Perennial (Yearly),Smooth,Red,Phases,1-3,5+,Parasitic,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Nutritious / Tasty,Boiled,N/A,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Crushed,Depurative,Non-Edible,N/A,N/A,Edible,Raw,N/A,
Woody,Terrestrial,Forest / Jungle,Uncommon,Solitary (1-2),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Scaly,Black & Gold,Solid,Scaly,Green,N/A,Rough,Copper,N/A,Broad,Terminal,Spear-Shaped (Pointed Barbbed-Base) & Spatulate (Spoon),Lobate,Scaly,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Flaky,Brown,N/A,Suckers,Fruit,Animal,Pairs,Sphere,Huge (>10cm),Toothed,Veined,Stem / Trunk,Musky,Annual (Once),Scaly,Yellow,Mimicry,0,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Infusion,Coagulant,Edible,Raw,N/A,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,
Fungus,Sub-Terrestrial,Forest / Jungle,Very Common,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,Random,None,Smooth,Black,N/A,Smooth,Yellow,N/A,Smooth,Yellow,N/A,Broad,Terminal,Pedate (Palmate Divided Latteral Lobes),Undulate,Smooth,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Smooth,Green,N/A,Seeds,Spore,Gravity,Pairs,Bell,Huge (>10cm),Wavy & Toothed,Velvety,Stem / Trunk,Sweet,Perennial (Yearly),Smooth,Black,Solid & Solid,0,2-4,Decay,Heat,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Boiled,N/A,
Herbaceous,Aquatic,Fresh Water,Very Rare,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Radial,Tap,Smooth,Red,N/A,Rough & Smooth,Gold,N/A,Smooth,Green,N/A,Broad,Stem / Trunk,Cordate (Heart Stem in Cleft),Sinuate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Waxy,Black,N/A,Budding / Fragmentation,Fruit,Water,Pairs,Funnel,Avg. (1-5cm),Curly,Waxy,Regular Interval,Sweet,Perennial (Yearly),Waxy,Brown,Solid,4-9,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Infusion,Re-Roll,Edible,Dried,N/A,Edible,Dried,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Edible,Steeped,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Random,Tap,Other,Green,N/A,Rough,Yellow,N/A,Smooth,Copper,N/A,Broad,Branch Points,Pinnatisect (Deep Opposite Lobing),Smooth,Scaly,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Flaky,Green,N/A,Seeds,Nut,Animal,Bunches,Bell,Small (5-10mm),Wavy,Hairy,Random Interval,Musky,Poly-Annual (2-7 Years),Rough,Black,Luminescent,1-3,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,None,Rhizoid,Smooth,Blue,N/A,Smooth,Copper,N/A,Smooth,Green,N/A,Broad,Random Interval,Spear-Shaped (Pointed Barbbed-Base),Lobate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Rough,Black,N/A,Seeds,Spore,Water,Single,Cone,Large (5-10cm),Wavy,Scaly,Branch Points,Sweet,Poly-Annual (2-7 Years),Waxy,Green,Spotted,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Bath,Vermifuge,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Non-Edible,N/A,N/A,
Woody,Avian,Plains / Savannah,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Rough,Green,N/A,Other,Violet,N/A,Flaky,Green,N/A,Broad,Terminal,Spear-Shaped (Pointed Barbbed-Base),Smooth,Sticky,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Other,Green,N/A,Seeds,Fruit,Water,Compound,Cone,Small (5-10mm),Blade,Dusty,Regular Interval,None,Perennial (Yearly),Flaky,Green,Spotted,10+,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Ointment,Soporific,
Herbaceous,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Colonial Mass,Random,Tap,Waxy,Orange,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Broad,Random Interval,Aristate (Spine-Like Tip),Lobate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Other,Gold,N/A,Seeds,Grain,Wind,Bunches,Spike,Avg. (1-5cm),Round,Waxy,Regular Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Green,Spotted,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Blanched,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Decoction,Wax,
Herbaceous,Terrestrial,Hills / Scrub,Uncommon,Large Patch (120+),Average (25cm-1m),Multiple Stems / Trunks,Random,Bulb,Smooth,Silver,N/A,Waxy,Grey,N/A,Scaly,Brown,N/A,Compound,Stem / Trunk,Obovate (Egg Narrow at Base),Lobate,Waxy,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Grey,N/A,Budding / Fragmentation,Nut,Water,Pairs,Sphere,Avg. (1-5cm),Curly & Toothed,Veined,Regular Interval,Sweet,Other,Smooth,Red,Mimicry,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Whole,Stomachic,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Ointment,Cardiac,
Woody,Aquatic,Fresh Water,Uncommon,Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Random,Fibrous,Rough,Yellow,N/A,Smooth,Black,N/A,Waxy,Brown,N/A,Compound,Stem / Trunk,Lanceolate (Pointed at Both Ends),Dentate,VelvetyDusty,Reticulate (Smaller Veins Forming a Network),Singles (1),Smooth,Black,N/A,Seeds,Fruit,Animal,Single,Spike,Small (5-10mm),Oval,Veined,Regular Interval,Sweet,Other,Smooth,White,Blushed,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Nutritious / Tasty,Dried,N/A,Edible,Boiled,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Random,Rhizoid,Waxy,Green,N/A,Other,Silver,N/A,Flaky,Yellow,N/A,Compound,Branch Points,Subulate (Awl),Smooth,Smooth,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Smooth,Green,N/A,Seeds,Grain,Gravity,Spray,Bell,Huge (>10cm),Curly,Hairy,Branch Points,Sweet,Perennial (Yearly),Waxy,Brown,Spotted,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,None,Smooth,Yellow,N/A,Waxy,Red,N/A,Smooth,Yellow,N/A,Broad,Random Interval,Palmate (Hand-Like),Denticulate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Waxy,Gold,N/A,Seeds,Grain,Wind,Spray,Complex,Small (5-10mm),Blade,Smooth,Terminal,None,Perennial (Yearly),Waxy,Blue,Mottled,1-3,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Wash,Diuretic,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Nutritious / Tasty,Roasted,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Solitary (1-2),Large (1-10m),Stem / Trunk,Random,Bulb,Rough,Brown,N/A,Waxy,Copper,N/A,Smooth,Brown,N/A,Blades,Regular Interval,Subulate (Awl),Serate,Scaly & Re-Roll,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Other,Black,N/A,Seeds,Grain,Gravity,Spray,Disc,Small (5-10mm),Oval,Smooth,Random Interval,Musky,Annual (Once),Smooth,Green,Translucent,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Tincture,Anesthetic,Medicinal / Other,Poultice,Dye,N/A,N/A,N/A,Medicinal / Other,Decoction,Antihydrotic,Edible,Steeped,N/A,Medicinal / Other,Ground,Vulnerary,
Herbaceous,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,Random,Tap,Waxy,Violet,N/A,Scaly,Green,N/A,Waxy,Orange,N/A,Broad,Terminal,Acicular (Needle),Smooth,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins) & Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Smooth,Green,N/A,Seeds,Fruit,Other,Pairs,Bell,Large (5-10cm),Curly,Waxy,Terminal,Other / Specific,Poly-Annual (2-7 Years),Waxy,Red,Blushed,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Cold Compress,Caustic,Edible,Roasted,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Edible,Roasted,N/A,
Herbaceous,Aquatic,Salt Water,Very Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Tubers,Other,Yellow,N/A,Scaly,Gold,N/A,Rough,Gold,N/A,Compound,Regular Interval,Ovate (Egg Wide at Base),Sinuate,Hairy,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Waxy,Yellow,N/A,Suckers,Fruit,Water,Pairs,Bell,Small (5-10mm),Curly,Velvety,Branch Points,Sweet,Annual (Once),Scaly,Grey,Blushed & Phases,10+,5+,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Edible,Raw,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Cold Compress,Emetic,N/A,N/A,N/A,Medicinal / Other,Powder,Insecticide,Non-Edible,N/A,N/A,
Woody,Terrestrial,Tundra & Marsh / Swamp / Bog,Common,Large Patch (120+),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,Orange,N/A,Waxy,Brown,N/A,Rough,Green,N/A,Broad,Stem / Trunk,Acuminate (Taper to Long Point),Sinuate & Sinuate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Scaly,Orange,N/A,Seeds,Fruit,Animal,Spray,Bell,Small (5-10mm),Curly,Smooth,Regular Interval,Other / Specific,Poly-Annual (2-7 Years),Flaky,Grey,Stripes,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Essence,Demulcent,
Herbaceous,Aquatic,Fresh Water,Common,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,Tap,Other,Green,N/A,Smooth,Gold,N/A,Other,Grey,N/A,Compound,Regular Interval,Rhomboid (Diamond),Serate,Waxy,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Waxy,Silver,N/A,Suckers,Grain,Gravity,Other,Funnel,Avg. (1-5cm),Feathery,Waxy,Terminal,Sweet,Perennial (Yearly),Waxy,Blue,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Crushed,Adjuvant,Medicinal / Other & Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Anthelmintic,Medicinal / Other,Vapor / Smoke,Counterirritant,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Fibrous,Rough,Copper,N/A,Smooth,Green,N/A,Scaly,Red,N/A,Needles,Branch Points,Hastatae (Triangular Basal Lobes),Serrulate,VelvetyDusty,None,Whorls (3-5),Waxy,Green,N/A,Suckers,Fruit,Animal,Spray,Sphere,Large (5-10cm),Wavy,Smooth,Branch Points,None,Annual (Once),Smooth,Green,Translucent,4-9,2-4,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Glue,Medicinal / Other,Ground,Acrid,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Decoction,Insecticide,
Herbaceous,Aquatic,Salt Water,Very Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Random,Tap,Other,Silver,N/A,Other,Gold,N/A,Scaly,Grey,N/A,Broad,Terminal,Spear-Shaped (Pointed Barbbed-Base),Lobate,Sticky,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Brown,N/A,Suckers,Grain,Gravity,Other,Cone,Huge (>10cm),Curly,Waxy,Regular Interval,Sweet,Poly-Annual (2-7 Years),Flaky,Red,Solid,4-9,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Cold Extract,Antiemetic,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle & Tundra,Very Common,Medium Patch (12-120),Huge (>10m),Stem / Trunk,Radial,Fibrous,Smooth,Green,N/A,Waxy,Green,N/A,Smooth,Yellow,N/A,Broad,Branch Points,Spatulate (Spoon),Spiny,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Waxy,Red,N/A,Suckers,Fruit,Animal,Other,Bell,Small (5-10mm),Blade,Velvety,Random Interval,Foul,Annual (Once),Waxy,Green,Mimicry,1-3,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Decoction,Astringent,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Tincture,Nephretic,Medicinal / Other,Fomentation,Emmenagogue,
Herbaceous,Aquatic,Fresh Water,Common,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,None,Tap,Smooth,Violet,N/A,Other,Green,N/A,Waxy,Violet,N/A,Broad,Terminal,Reniform (Kidney),Crenate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Green & Green,Translucent,Seeds,Spore,Animal,Single,Cone,Avg. (1-5cm),Toothed,Hairy,Random Interval,Sweet,Annual (Once),Smooth,Silver,Stripes,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Ground,N/A,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Re-Roll,Expectorant,Medicinal / Other,Infusion,Balsam,
Herbaceous,Aquatic,Salt Water,Very Common,Large Patch (120+),Small (5-25cm),Creeper Vine,Random,Tap,Waxy,Blue & Green,Blushed,Smooth,Silver,N/A,Smooth,Yellow,N/A,Broad,Regular Interval,Pedate (Palmate Divided Latteral Lobes) & Acuminate (Taper to Long Point),Lobate,VelvetyDusty,Longitudinal (Veins Mostly Aligned Along Axis of Leaf) & Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Black,N/A,Budding / Fragmentation,Grain,Gravity,Other,Bell,Small (5-10mm),Blade,Hairy,Regular Interval,Foul,Poly-Annual (2-7 Years),Smooth,Blue,Solid,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Nutritious / Tasty,Boiled,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Random,Tap,Smooth,Copper,N/A,Waxy,Green,N/A,Waxy,Brown,N/A,Broad,Terminal,Truncate (Squared off Apex),Sinuate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Rough,Red & Orange,Phases,Suckers,Grain,Gravity,Spray,Bell,Avg. (1-5cm),Wavy,Veined,Regular Interval,Other / Specific,Poly-Annual (2-7 Years),Smooth,Black,Stripes,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Pectoral,Non-Edible,N/A,N/A,
Herbaceous,Avian,Forest / Jungle,Very Common,Solitary (1-2),Small (5-25cm),Creeper Vine,None,Fibrous,Waxy,Brown,N/A,Smooth,Orange,N/A,Smooth,Grey,N/A,Compound,Regular Interval,Poly-Foliate (2-7 Leaflets),Lobate,VelvetyDusty,None,Clusters (6+),Smooth,Green,N/A,Seeds,Grain,Water,Bunches,Cone,Small (5-10mm),Wavy,Smooth,Regular Interval,None,Perennial (Yearly),Smooth,Gold,Translucent,10+,1,Predaceous,Light,Non-Sentient,N/A,Medicinal / Other,Other,Emmenagogue,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Fungicide,Medicinal / Other,Fomentation,Digestive,
Herbaceous,Sub-Terrestrial,Plains / Savannah,Uncommon,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Tap,Scaly,Yellow,N/A,Rough,Green,N/A,Smooth,Copper,N/A,Broad,Branch Points,Truncate (Squared off Apex),Smooth,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Waxy,Brown,N/A,Budding / Fragmentation,Fruit,Gravity,Other,Funnel,Small (5-10mm),Curly & Thread,Waxy,Terminal,Sweet,Perennial (Yearly),Waxy,Silver,Blushed,4-9,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Blanched,N/A,Medicinal / Other,Crushed,Carminative,Medicinal / Other,Grated,Vasodialator,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Ground,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Solitary (1-2),Small (5-25cm),Stem / Trunk,None,Bulb,Smooth,Grey,N/A,Smooth,Green & Green,Solid,Flaky,Copper,N/A,Compound,Branch Points,Elliptic (Oval Small or No Point),Spiny,Smooth,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Scaly,Green,N/A,Seeds,Fruit,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Decoction,Colorant,N/A,N/A,N/A,Medicinal / Other,Crushed,Aperient,N/A,N/A,N/A,Medicinal / Other,Tincture,Antiseptic,Nutritious / Tasty,Steeped,N/A,
Woody,Terrestrial,Plains / Savannah,Very Common,Large Patch (120+),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Scaly,Blue,N/A,Waxy,White,N/A,Flaky,Green,N/A,Compound,Stem / Trunk,Digitate (Finger-Like Lobes),Undulate,Scaly,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Rough,Yellow,N/A,Seeds,Nut,Animal,Single,Complex,Small (5-10mm),Curly,Smooth,Terminal,Foul,Perennial (Yearly),Smooth,Brown,Night Blooming,0,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Juice,Diuretic,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Edible,Blanched,N/A,
